Focus City,Airport,Capacity (Monthly Tons)
Leipzig,Leipzig/Halle Airport,"85,000"
Hyderabad,Rajiv Gandhi International Airport,"19,000"
SanBernardino,San Bernardino International Airport,"36,000"

